"Metabolite","Log2FC_ TvN_Early","p.val_ TvN_Early","p.adj_ TvN_Early","Log2FC_ TvN_Late","p.val_ TvN_Late","p.adj_ TvN_Late","Log2FC_S1-S4","SUPER PATHWAY","SUB PATHWAY"
"pivaloylcarnitine",-1.62679724398032,7.23907955333137e-06,2.06421278352419e-05,-0.912358684616085,8.48735810099901e-07,2.06275032328077e-06,0.714438559364233,"Xenobiotics","Drug"
"pregnanediol-3-glucuronide",-0.43269605982842,0.00424456248898434,0.00809558938296351,-0.542773139306292,1.39871067857591e-06,3.34297655958392e-06,-0.110077079477872,"Lipid","Sterol/Steroid"
"pregnen-diol disulfate*",-0.00339830023130975,0.240806985884129,0.304845766745622,-0.833175030894397,0.0204481301797841,0.0290101551319105,-0.829776730663087,"Lipid","Sterol/Steroid"
"pro-hydroxy-pro",-1.45004460071854,9.31402701163392e-15,1.12307559339383e-13,-1.09061112579251,2.26020381602729e-18,2.45637244911645e-17,0.359433474926027,"Peptide","Dipeptide"
"proline",-1.23869612557051,2.6134035212252e-14,2.84022722306738e-13,-0.876943158575208,2.35558314740977e-15,1.73950755501029e-14,0.3617529669953,"Amino acid","Urea cycle; arginine-, proline-, metabolism"
"prolylglycine",-1.30723451161463,4.49464604112011e-10,2.19399671159761e-09,-1.06810372810188,1.20403079359301e-11,5.46080107960294e-11,0.239130783512756,"Peptide","Dipeptide"
"prolylmethionine",0.289005836629034,0.0145628726373894,0.0254188322398069,1.13287535540873,0.0152902041255973,0.0219629864746734,0.843869518779699,"",""
"propionylcarnitine",-0.522157176361201,2.61666428955851e-06,7.76906510714281e-06,0.0125265546671196,0.304070409107761,0.350991093479099,0.534683731028321,"Lipid","Fatty acid metabolism (also BCAA metabolism)"
"prostaglandin A2",-0.847799282225165,0.105401398448885,0.147357294918829,-0.481670446783753,0.1744115066904,0.211052579524518,0.366128835441412,"Lipid","Eicosanoid"
"prostaglandin E2",-1.63761257928088,0.29647788753972,0.36963476888069,-0.383175088593455,0.094745267858871,0.120470804164922,1.25443749068743,"Lipid","Eicosanoid"
"pseudouridine",-1.9974752691692,1.02644027687674e-17,4.22306856772143e-16,-1.70451692383045,3.05344841064628e-24,1.17252418968817e-22,0.29295834533875,"Nucleotide","Pyrimidine metabolism, uracil containing"
"putrescine",2.40023891302996,3.10749441141657e-06,9.13222847436706e-06,2.21239968036213,3.8353013763353e-14,2.18726098293974e-13,-0.187839232667828,"Amino acid","Polyamine metabolism"
"pyridoxal",-1.72317243142953,1.64261473717139e-16,3.37909317360973e-15,-1.32065992765749,3.8012806972423e-17,3.53151238969608e-16,0.402512503772047,"Cofactors and vitamins","Pyridoxal metabolism"
"pyridoxate",-1.57375335261976,2.18821961352411e-14,2.42387403344209e-13,-1.75205614175859,1.36008239001678e-20,2.0615985701307e-19,-0.178302789138833,"Cofactors and vitamins","Vitamin B6 metabolism"
"pyroglutamine*",1.50683696393381,0.00838002929296432,0.0152749901036312,2.04709482600295,2.87456649106062e-12,1.39138680575707e-11,0.540257862069136,"Amino acid","Glutamate metabolism"
"pyrophosphate (PPi)",-0.475917349221954,0.0274696469725915,0.0452071904463219,-0.477352122195795,0.0456134599249793,0.0612432468922799,-0.00143477297384087,"Energy","Oxidative phosphorylation"
"quebrachitol",0.29225841904135,0.502205570703497,0.580782611096729,-0.0268345100095141,0.837106227253102,0.870348712811889,-0.319092929050864,"Xenobiotics","Food component/Plant"
"quinate",-1.13604278767348,0.00706918251888904,0.0130927624787141,-1.25401143650166,0.000238509979935237,0.000425330490534665,-0.117968648828178,"Xenobiotics","Food component/Plant"
"quinidine",-0.0052658760397861,1,1,-0.120030406698964,0.56609516393892,0.61990649130954,-0.114764530659178,"Xenobiotics","Drug"
"quinolinate",1.34740102743365,0.00453137078438147,0.00852963912354159,1.09863928246088,0.335096024049009,0.38070080838704,-0.248761744972772,"Cofactors and vitamins","Nicotinate and nicotinamide metabolism"
"ranitidine",-0.266760094469321,0.0822869049182858,0.11913881858044,-0.184251834403294,0.158570588009996,0.192287702513174,0.0825082600660272,"Xenobiotics","Drug"
"ribitol",0.01879571431795,0.000731075571340123,0.00158308093643575,0.32209804098421,0.0824793324129903,0.107000215022258,0.30330232666626,"Carbohydrate","Nucleotide sugars, pentose metabolism"
"riboflavin (Vitamin B2)",-1.39309204585753,1.39385302171858e-12,9.44540400599885e-12,-1.13283055548329,2.43221915492931e-14,1.41510932650432e-13,0.260261490374248,"Cofactors and vitamins","Riboflavin metabolism"
"ribose",-0.433043487890841,0.000334628517848468,0.000758842623152431,0.629654299592652,0.00351390504237106,0.00545555068572973,1.06269778748349,"Carbohydrate","Nucleotide sugars, pentose metabolism"
"ribulose",0.32819472517388,0.130414165239057,0.176749551006346,0.928784511938913,2.02518430730375e-11,8.83716788641634e-11,0.600589786765032,"Carbohydrate","Nucleotide sugars, pentose metabolism"
"S-adenosylhomocysteine (SAH)",0.473691647105737,0.18445966746543,0.23983920645618,1.3857756745974,1.03211535720542e-15,8.14381432534684e-15,0.912084027491668,"Amino acid","Cysteine, methionine, SAM, taurine metabolism"
"S-adenosylmethionine (SAM)",-0.224707149561477,0.00162985220600541,0.00334090701302176,0.609287927187683,0.000427839119160945,0.000744517621258925,0.83399507674916,"Amino acid","Cysteine, methionine, SAM, taurine metabolism"
"S-methylcysteine",-0.459117555359728,0.000323318777523877,0.000736093343295468,-0.175945929894962,0.286617203629817,0.333518200587423,0.283171625464766,"Amino acid","Cysteine, methionine, SAM, taurine metabolism"
"saccharopine",2.20049576186771,1.66269036944894e-05,4.6490759844786e-05,2.68393857106464,1.79268229950588e-05,3.63586269195558e-05,0.483442809196924,"Amino acid","Lysine metabolism"
"salicylate",0,NA,NA,0,NA,NA,0,"Xenobiotics","Drug"
"sarcosine (N-Methylglycine)",1.09580409811313,2.32790352815756e-08,9.50973356183513e-08,1.70402389992993,4.76504470609296e-12,2.23143556968256e-11,0.608219801816797,"Amino acid","Glycine, serine and threonine metabolism"
"scyllo-inositol",-2.82979371926859,8.51375427996786e-16,1.36220068479486e-14,-1.58994922868235,1.50011093880318e-14,9.29100968549069e-14,1.23984449058624,"Lipid","Inositol metabolism"
"sedoheptulose-7-phosphate",0.102277719196967,0.867063532053238,0.911320479140166,0.993715297829385,1.22472689435458e-08,3.83392766928392e-08,0.891437578632418,"Carbohydrate","Nucleotide sugars, pentose metabolism"
"serine",-1.8491034272688,2.7371746671326e-14,2.87714579257971e-13,-1.43275902451053,4.06321442919154e-17,3.71493890668941e-16,0.41634440275827,"Amino acid","Glycine, serine and threonine metabolism"
"serylisoleucine*",0.126259042243867,0.00384659717684414,0.00741016713666296,0.418679278521222,0.595301164507698,0.648191816174733,0.292420236277355,"Peptide","Dipeptide"
"serylleucine",1.82091366644627,0.0002656623502486,0.000614544231900375,2.24859085259122,2.21415393593448e-10,8.55941387314267e-10,0.427677186144953,"Peptide","Dipeptide"
"serylphenyalanine",1.19788761916181,0.00373838232181424,0.00725019601806399,1.62565569844627,5.9014196215902e-09,1.97628936164881e-08,0.427768079284456,"Peptide","Dipeptide"
