,cluster,motif,p-value,q-value,odds-ratio,count-genes-in-cluster,count-genes-bg,remainder-cluster,remainder-bg,tf-log2FC,tf-padj,tf-cluster,%-coverage,genes
10,TPDE,CEBPA,0.000253487690475,0.0011358198438591344,7.561001277907239,6,53,251,16711,0.430720529059205,4.56409218857444e-19,TPDE_TMDS,2.3346303501945527,"TNFAIP3,ITGAX,CDKN1A,ITGAL,SCD,APBB1IP"
11,TPDS_TMDE,CEBPA,0.6283314287834859,0.6434567202548461,0.0,0,59,288,16674,0.430720529059205,4.56409218857444e-19,TPDE_TMDS,0.0,
12,TMDS,CEBPA,0.7568048916910912,0.7600669817414838,1.0860267857142858,3,56,800,16162,0.430720529059205,4.56409218857444e-19,TPDE_TMDS,0.37359900373599,"DEFA3,RNASE2,TIMP2"
13,MDE_TMDS,CEBPA,3.052248939555912e-07,4.18337648774428e-06,9.976659285415046,10,49,341,16621,0.430720529059205,4.56409218857444e-19,TPDE_TMDS,2.849002849002849,"APOB,LBP,CXCL8,CETP,XDH,HAMP,IGFBP1,BCL2,UHRF1,TF"
14,TPDS,CEBPA,0.2657243885414159,0.32850399347888815,0.0,0,59,539,16423,0.430720529059205,4.56409218857444e-19,TPDE_TMDS,0.0,
15,MDE,CEBPA,4.741138796850501e-13,1.8411422327769446e-11,15.486157253599114,16,43,399,16563,0.430720529059205,4.56409218857444e-19,TPDE_TMDS,3.855421686746989,"CDH13,SPI1,ICAM1,SMYD2,TOP2A,MSR1,FAS,S100A9,ALOX5AP,ENPP3,KCNMA1,GAPDH,HP,CCND1,FN1,ITGB2"
16,TPDE_TMDS,CEBPA,0.0986649354748974,0.1665864490264572,2.8223862100045065,3,56,317,16645,0.430720529059205,4.56409218857444e-19,TPDE_TMDS,0.9375,"CCNB1,LEP,FGA"
17,TMDE,CEBPA,0.2944375932219928,0.34648464252891076,1.8850341287301853,2,57,311,16651,0.430720529059205,4.56409218857444e-19,TPDE_TMDS,0.6389776357827476,"TK1,HSD17B11"
18,TPDE,CEBPB,0.0006756435386395,0.00245976475785943,22.0,3,9,254,16755,0.545152846372721,3.9391549553528704e-23,TPDE,1.1673151750972763,"ADM,CDKN1A,F8"
19,MDE_TMDS,CEBPB,0.2211716007494428,0.29114679646678066,4.32987012987013,1,11,350,16659,0.545152846372721,3.9391549553528704e-23,TPDE,0.2849002849002849,CXCL8
20,MDE,CEBPB,0.0026829682393771,0.008930451425355205,13.435275080906148,3,9,412,16597,0.545152846372721,3.9391549553528704e-23,TPDE,0.7228915662650602,"S100A9,TNFAIP6,HP"
21,TPDE_TMDS,CEBPB,0.0205117997646754,0.049783847345514255,10.50377358490566,2,10,318,16691,0.545152846372721,3.9391549553528704e-23,TPDE,0.625,"SAA2,CRP"
22,TMDE,CEBPB,0.1996051758035071,0.2672873905874549,4.868298368298368,1,11,312,16697,0.545152846372721,3.9391549553528704e-23,TPDE,0.3194888178913738,ASNS
23,TPDE,CREB1,0.0209188654281795,0.050248408708926016,10.114027149321268,2,13,255,16751,0.218107377384263,5.8706393755406694e-18,None,0.7782101167315175,"FLT1,CD4"
24,TPDS_TMDE,CREB1,0.2257572006436527,0.2953818201526729,4.164509706321553,1,14,287,16719,0.218107377384263,5.8706393755406694e-18,None,0.3472222222222222,PLAT
25,MDE_TMDS,CREB1,0.2683315980333244,0.32850399347888815,3.4020408163265308,1,14,350,16656,0.218107377384263,5.8706393755406694e-18,None,0.2849002849002849,BCL2
26,MDE,CREB1,8.391090868973406e-07,9.775620862354018e-06,27.06764466177669,6,9,409,16597,0.218107377384263,5.8706393755406694e-18,None,1.4457831325301205,"HLA-DRA,HLA-DOB,VEGFA,CXCR4,CCND1,FN1"
27,TPDE,CTCF,0.3366590232544053,0.39220776209138214,2.5186298076923075,1,26,256,16738,0.238267853589123,1.6173665678341202e-15,None,0.3891050583657587,HMCN1
28,MDS,CTCF,0.1881552398614566,0.25788335816305524,4.997041420118343,1,26,130,16864,0.238267853589123,1.6173665678341202e-15,None,0.7633587786259541,ESRP2
29,TMDS,CTCF,0.1322567027674339,0.19753725477443654,2.5340625,3,24,800,16194,0.238267853589123,1.6173665678341202e-15,None,0.37359900373599,"ARL2,MB,MRPL17"
30,MDE_TMDS,CTCF,0.0002001607888762,0.0009327492761630919,10.949816079873884,5,22,346,16648,0.238267853589123,1.6173665678341202e-15,None,1.4245014245014245,"GAS7,C1R,BBC3,CIDEB,KSR1"
31,TPDS,CTCF,0.5802765859093929,0.6095865651356773,1.178295682013154,1,26,538,16456,0.238267853589123,1.6173665678341202e-15,None,0.1855287569573284,PAGE4
32,MDE,CTCF,0.4862136632541712,0.5196687318267059,1.5427350427350428,1,26,414,16580,0.238267853589123,1.6173665678341202e-15,None,0.2409638554216867,CCND1
33,TPDE_TMDS,CTCF,0.4007316580063266,0.4488965207474716,2.013624306727755,1,26,319,16675,0.238267853589123,1.6173665678341202e-15,None,0.3125,CDKN2A
34,TPDE,EGR1,4.518765949942766e-06,3.760258808345231e-05,12.35242105263158,7,38,250,16726,0.189255434634112,3.25334724953474e-07,None,2.723735408560312,"TFPI2,CEBPB,CDKN1A,TGFB1,ALOX5,FLT1,SERPINE1"
35,MDS,EGR1,0.2933545283458015,0.34648464252891076,2.952797202797203,1,44,130,16846,0.189255434634112,3.25334724953474e-07,None,0.7633587786259541,HSD11B2
36,MDE_TMDS,EGR1,0.0650005332681419,0.12620936876230884,3.421592775041051,3,42,348,16628,0.189255434634112,3.25334724953474e-07,None,0.8547008547008548,"ACHE,CD28,BCL2"
