"Pathway","Comparison","Regulation_Grouping_2","fGSEA NES","fGSEA padj","fGSEA pval","fGSEA size","gene","Genes_in_Pathway","Percentage_of_Pathway_detected","In Threshold?"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDS",-0.759667555963946,0.849645220917059,0.793103448275862,3,"SLC25A13",32,9.38,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDS",-0.759667555963946,0.849645220917059,0.793103448275862,3,"SLC1A2",32,9.38,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDS",-0.759667555963946,0.849645220917059,0.793103448275862,3,"ASPA",32,9.38,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDS",-0.759667555963946,0.849645220917059,0.793103448275862,3,"SLC38A5",32,9.38,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDS",-0.759667555963946,0.849645220917059,0.793103448275862,3,"GOT2",32,9.38,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDS",-0.759667555963946,0.849645220917059,0.793103448275862,3,"ACY3",32,9.38,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDS",-0.759667555963946,0.849645220917059,0.793103448275862,3,"SLC7A2",32,9.38,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDS",-0.759667555963946,0.849645220917059,0.793103448275862,3,"DDO",32,9.38,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDS",-0.759667555963946,0.849645220917059,0.793103448275862,3,"AGXT2L1",32,9.38,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDS",-0.759667555963946,0.849645220917059,0.793103448275862,3,"SLC1A6",32,9.38,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDS",-0.759667555963946,0.849645220917059,0.793103448275862,3,"SLC1A4",32,9.38,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDS",-0.759667555963946,0.849645220917059,0.793103448275862,3,"SLC36A1",32,9.38,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDS",-0.759667555963946,0.849645220917059,0.793103448275862,3,"AGXT",32,9.38,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDS",-0.759667555963946,0.849645220917059,0.793103448275862,3,"SLC1A1",32,9.38,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDS",-0.759667555963946,0.849645220917059,0.793103448275862,3,"SLC7A10",32,9.38,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDS",-0.759667555963946,0.849645220917059,0.793103448275862,3,"SLC6A14",32,9.38,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS",-1.11488973430796,0.886147250243014,0.350546176762661,6,"SLC38A2",32,18.75,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS",-1.11488973430796,0.886147250243014,0.350546176762661,6,"SLC1A3",32,18.75,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS",-1.11488973430796,0.886147250243014,0.350546176762661,6,"SLC7A8",32,18.75,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS",-1.11488973430796,0.886147250243014,0.350546176762661,6,"SLC38A4",32,18.75,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS",-1.11488973430796,0.886147250243014,0.350546176762661,6,"SLC38A3",32,18.75,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS",-1.11488973430796,0.886147250243014,0.350546176762661,6,"SLC1A7",32,18.75,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS",-1.11488973430796,0.886147250243014,0.350546176762661,6,"SLC7A3",32,18.75,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS",-1.11488973430796,0.886147250243014,0.350546176762661,6,"SLC1A5",32,18.75,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS",-1.11488973430796,0.886147250243014,0.350546176762661,6,"SLC38A1",32,18.75,"NO"
