ensembl_gene_id,logFC_rna,padj_rna,logFC_meth,padj_meth,CpG_Beta_diff,external_gene_name,entrezgene_id,hgnc_symbol,logFC_protein,padj_protein,Regulation_Grouping_1,Regulation_Grouping_2,Regulation_Grouping_3
ENSG00000144840,0.0076862185534954,0.886803323265438,2.20751091726603,7.24009251912175e-118,0.0728422275636469,RABL3,285282.0,RABL3,-0.277629949658397,1.29008511955814e-22,None,None,None
ENSG00000144843,0.955644988031208,3.83688476078335e-73,0.0,1.0,0.0,ADPRH,141.0,ADPRH,0.458250965314725,6.57355022120001e-39,None,None,None
ENSG00000144847,-4.33097635632826,2.5965249151283398e-146,-1.5633480064198,8.94247651374446e-38,-0.2433461162573457,IGSF11,152404.0,IGSF11,-0.449018397103542,4.07028604950898e-09,TPDS_TMDE_M-neg_R-neg_P--,TPDS_TMDE,TMDE
ENSG00000144848,0.219121319387668,7.67176610647394e-08,0.0,1.0,0.0,ATG3,64422.0,ATG3,0.126995718791514,4.27692533523019e-13,None,None,None
ENSG00000144908,-1.81170328354723,9.70465143916039e-24,-1.28856733951878,1.23853517714976e-20,-0.1590708640370235,ALDH1L1,10840.0,ALDH1L1,-1.09297466604196,1.25863561974354e-41,TPDS_M-neg_R-neg_P-neg,TPDS,TPDS
ENSG00000144909,0.354064957869665,8.01016355032953e-07,-0.451184130047764,1.54151643562954e-24,-0.0214966822233525,OSBPL11,114885.0,OSBPL11,-0.0791295924727325,5.26110406980704e-05,None,None,None
ENSG00000144935,1.08224048893575,6.883839699982861e-61,-0.477315981166513,7.63157081020143e-06,-0.0791800335211431,TRPC1,7220.0,TRPC1,0.0,1.0,TPDE_TMDS_M--_R-pos_P--,TPDE_TMDS,TMDS
ENSG00000144959,0.993290541042897,1.9767232996990402e-20,-0.722799023348262,3.89235182648431e-21,-0.1130284429827081,NCEH1,57552.0,NCEH1,0.912029283231452,8.18815458330656e-37,TPDS_TMDE_M-neg_R--_P-pos,TMDE,TMDE
ENSG00000144962,-2.94101309001456,2.02274323951887e-53,-1.97338720341751,2.44758041944089e-55,-0.1977838254054126,SPATA16,83893.0,SPATA16,0.0,1.0,TPDS_TMDE_M-neg_R-neg_P--,TPDS_TMDE,TMDE
ENSG00000145002,-0.825264394844727,1.5929993473692999e-12,-1.73154061894904,5.61911140498327e-72,-0.1577030449362444,FAM86B2,653333.0,FAM86B2,0.0,1.0,None,None,None
ENSG00000145012,0.314269383630284,4.3531041833773595e-11,-3.03475293154472,3.14909964013912e-93,-0.3370936579467273,LPP,4026.0,LPP,-0.0756813697863927,0.0449906949888266,None,None,None
ENSG00000145014,1.48705198313067,1.29633613153469e-90,-1.58776525109567,8.42748397520407e-44,-0.2861740739979986,TMEM44,93109.0,TMEM44,0.0,1.0,MDE_TMDS_M-neg_R-pos_P--,MDE_TMDS,TMDS
ENSG00000145016,0.147914395741728,0.0045797654014681,-2.30836656754058,4.99245949544302e-64,-0.1813008919899916,RUBCN,9711.0,RUBCN,0.258382322905431,2.47796784333487e-14,None,None,None
ENSG00000145020,-1.32320877475529,5.88046421425935e-99,0.730848650865814,9.46612549810473e-33,0.1153172344800417,AMT,275.0,AMT,-1.42768759046179,1.11449594601892e-66,MDS_M-pos_R-neg_P-neg,MDS,MDS
ENSG00000145022,-0.485754715962739,3.0818351598528e-17,-1.72311980952001,1.6205996479429198e-42,-0.1790941395711602,TCTA,6988.0,TCTA,0.0,1.0,None,None,None
ENSG00000145029,-0.964789319932775,4.45477184596313e-128,0.180167567144357,0.0057686262737982,0.0314802461704207,NICN1,84276.0,NICN1,0.0,1.0,None,None,None
ENSG00000145041,-0.703879414849135,4.00029996139933e-104,-1.4044570838383,2.42672479158452e-46,-0.1401920588354142,DCAF1,9730.0,DCAF1,-0.233520469882307,5.172864886509641e-35,None,None,None
ENSG00000145050,0.316248775122207,8.87018523399966e-05,-1.00624092088666,2.36731022223178e-72,-0.0519149482550035,MANF,7873.0,MANF,0.113756732405823,0.0007341496130923,None,None,None
ENSG00000145075,-0.165979078146851,0.0334789479823626,-4.08394356305468,6.671188365754609e-168,-0.1767276432679562,CCDC39,,CCDC39,-1.21348544003963,1.8008544685034598e-42,TPDS_TMDS_M-neg_R--_P-neg,TMDS,TMDS
ENSG00000145087,0.888952178654827,2.80055417432137e-05,2.03241032022493,2.07001805355612e-39,0.1883157868066218,STXBP5L,9515.0,STXBP5L,0.44002164089656,8.88532038779849e-27,None,None,None
ENSG00000145088,-1.29603114240742,3.98769293115059e-53,-1.13869728642258,7.40833472437824e-24,-0.176056373114505,EAF2,55840.0,EAF2,-2.0462940597661,3.30063246762283e-53,TPDS_M-neg_R-neg_P-neg,TPDS,TPDS
ENSG00000145103,-1.62689799381362,2.20188506575471e-34,1.00371624016103,1.6355186844814098e-22,0.0837571580454262,ILDR1,286676.0,ILDR1,-0.226586336039195,2.63698310647749e-05,TPDS_TMDE_M--_R-neg_P--,TPDS_TMDE,TMDE
ENSG00000145107,1.76024356259607,5.42585713183414e-22,-2.19788758316723,6.03737774318549e-53,-0.2966961592678436,TM4SF19,116211.0,TM4SF19,0.0,1.0,MDE_TMDS_M-neg_R-pos_P--,MDE_TMDS,TMDS
ENSG00000145113,-0.874444992935535,1.44711951305896e-07,-1.04978637176832,5.77058816175009e-60,-0.1626361244480554,MUC4,4585.0,MUC4,0.0,1.0,None,None,None
ENSG00000145147,-2.93167117473329,4.6855169735745904e-73,1.43412909041189,2.43353509574754e-36,0.0947304145369455,SLIT2,9353.0,SLIT2,-1.0200774433657,2.3208215932899398e-55,TPDS_M--_R-neg_P-neg,TPDS,TPDS
ENSG00000145191,0.0716937735400448,0.0440787612615263,0.54651510008396,6.7012843016538e-17,0.0783806561576102,EIF2B5,8893.0,EIF2B5,0.0271532193431395,0.0527264814849386,None,None,None
ENSG00000145192,-5.28146005780984,5.54636162577913e-104,-2.53577904933043,2.2112509324796696e-57,-0.1832761758598551,AHSG,197.0,AHSG,0.25721120287811,3.41350485118833e-05,TPDS_TMDE_M-neg_R-neg_P--,TPDS_TMDE,TMDE
ENSG00000145214,0.0113829547302195,0.829773359251419,1.76877958496829,4.44219963325236e-32,0.2670845783593805,DGKQ,1609.0,DGKQ,0.113813629825652,3.28455734239098e-05,None,None,None
ENSG00000145216,0.090548460921753,0.0035480456371067,0.0,1.0,0.0,FIP1L1,81608.0,FIP1L1,0.0463593510044366,0.002353108552471,None,None,None
ENSG00000145217,-1.63370440649131,2.3572830286565798e-57,0.0,1.0,0.0,SLC26A1,10861.0,SLC26A1,-0.858603941028409,5.7801003586616e-29,TPDS_M--_R-neg_P-neg,TPDS,TPDS
ENSG00000145220,1.20083307377655,1.6173608445508202e-120,-0.917154446567483,1.10246516438003e-64,-0.0452543657994005,LYAR,55646.0,LYAR,0.589184331110926,2.6731752238195597e-56,TPDE_M--_R-pos_P-pos,TPDE,TPDE
ENSG00000145241,0.106165399960343,0.0239967121297836,1.52359822574066,2.6877043468615e-41,0.0942244042923224,CENPC,1060.0,CENPC,0.323868400555543,6.59826089851496e-33,None,None,None
ENSG00000145242,-3.6571942711685,6.54806814503746e-21,2.22249290005237,8.38692616541661e-41,0.115296004476284,EPHA5,2044.0,EPHA5,0.0,1.0,MDS_TMDE_M-pos_R-neg_P--,MDS_TMDE,TMDE
ENSG00000145246,-0.170037928921539,3.22528018740675e-05,-1.86283047248582,4.92042258073635e-74,-0.2759778835216915,ATP10D,57205.0,ATP10D,0.0372485249753083,0.397374351732118,None,None,None
ENSG00000145247,-0.262821331930032,0.0013905330816491,0.0,1.0,0.0,OCIAD2,132299.0,OCIAD2,-0.601174873546689,1.0620981569011299e-26,TMDS_M--_R--_P-neg,TMDS,TMDS
ENSG00000145283,2.51585624597609,2.08595028660271e-95,-1.14451953944704,1.1484522172909e-33,-0.1592287524697393,SLC10A6,345274.0,SLC10A6,0.0,1.0,MDE_TMDS_M-neg_R-pos_P--,MDE_TMDS,TMDS
ENSG00000145284,-1.87794086815355,1.10834010519858e-22,1.0762345210712,1.76162012307337e-12,0.1451721857010344,SCD5,79966.0,SCD5,-1.14322320867793,8.7802011567096e-38,MDS_M-pos_R-neg_P-neg,MDS,MDS
ENSG00000145287,2.08399634138261,6.43289084316197e-32,-1.7663541311291,3.695663880005e-50,-0.2303495650036569,PLAC8,51316.0,PLAC8,0.0,1.0,MDE_TMDS_M-neg_R-pos_P--,MDE_TMDS,TMDS
ENSG00000145293,-0.0417541599294471,0.338813386415981,-0.729723135440721,2.31669794845947e-22,-0.1208193029837753,ENOPH1,58478.0,ENOPH1,0.152924256790959,1.39114055919675e-10,None,None,None
ENSG00000145331,-0.535651732413286,7.37304200254768e-27,0.0,1.0,0.0,TRMT10A,93587.0,TRMT10A,-0.265953179911304,7.106763485358801e-16,None,None,None
